partition_alpha,batch_size,lr,wd,epochs,client_num_in_total,cut_layer,num_ln,agg_type,ln_upscale,random_seed,db_id,config_id
2.1751953118777645, 8.0, 0.001, 0.001, 15.0, 11.0, 3.0, 5.0, 0.0, 2.0, 0.0, 4.0, 14.0
2.386418878005605, 8.0, 0.001, 0.001, 15.0, 4.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 15.0
2.386418878005605, 8.0, 0.001, 0.001, 15.0, 4.0, 3.0, 5.0, 0.0, 2.0, 0.0, 1.0, 16.0
2.386418878005605, 8.0, 0.001, 0.001, 15.0, 4.0, 3.0, 5.0, 0.0, 2.0, 0.0, 2.0, 17.0
2.386418878005605, 8.0, 0.001, 0.001, 15.0, 4.0, 3.0, 5.0, 0.0, 2.0, 0.0, 3.0, 18.0
2.386418878005605, 8.0, 0.001, 0.001, 15.0, 4.0, 3.0, 5.0, 0.0, 2.0, 0.0, 4.0, 19.0
0.2682875093825438, 8.0, 0.001, 0.001, 15.0, 3.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 20.0
0.2682875093825438, 8.0, 0.001, 0.001, 15.0, 3.0, 3.0, 5.0, 0.0, 2.0, 0.0, 1.0, 21.0
0.2682875093825438, 8.0, 0.001, 0.001, 15.0, 3.0, 3.0, 5.0, 0.0, 2.0, 0.0, 2.0, 22.0
0.2682875093825438, 8.0, 0.001, 0.001, 15.0, 3.0, 3.0, 5.0, 0.0, 2.0, 0.0, 3.0, 23.0
0.2682875093825438, 8.0, 0.001, 0.001, 15.0, 3.0, 3.0, 5.0, 0.0, 2.0, 0.0, 4.0, 24.0
0.11527987128232398, 8.0, 0.001, 0.001, 15.0, 2.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 25.0
0.11527987128232398, 8.0, 0.001, 0.001, 15.0, 2.0, 3.0, 5.0, 0.0, 2.0, 0.0, 1.0, 26.0
0.11527987128232398, 8.0, 0.001, 0.001, 15.0, 2.0, 3.0, 5.0, 0.0, 2.0, 0.0, 2.0, 27.0
0.11527987128232398, 8.0, 0.001, 0.001, 15.0, 2.0, 3.0, 5.0, 0.0, 2.0, 0.0, 3.0, 28.0
0.11527987128232398, 8.0, 0.001, 0.001, 15.0, 2.0, 3.0, 5.0, 0.0, 2.0, 0.0, 4.0, 29.0
14.655354118727704, 8.0, 0.001, 0.001, 15.0, 6.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 30.0
14.655354118727704, 8.0, 0.001, 0.001, 15.0, 6.0, 3.0, 5.0, 0.0, 2.0, 0.0, 1.0, 31.0
14.655354118727704, 8.0, 0.001, 0.001, 15.0, 6.0, 3.0, 5.0, 0.0, 2.0, 0.0, 2.0, 32.0
14.655354118727704, 8.0, 0.001, 0.001, 15.0, 6.0, 3.0, 5.0, 0.0, 2.0, 0.0, 3.0, 33.0
14.655354118727704, 8.0, 0.001, 0.001, 15.0, 6.0, 3.0, 5.0, 0.0, 2.0, 0.0, 4.0, 34.0
0.10053940194693017, 8.0, 0.001, 0.001, 15.0, 1.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 35.0
0.10053940194693017, 8.0, 0.001, 0.001, 15.0, 1.0, 3.0, 5.0, 0.0, 2.0, 0.0, 1.0, 36.0
0.10053940194693017, 8.0, 0.001, 0.001, 15.0, 1.0, 3.0, 5.0, 0.0, 2.0, 0.0, 2.0, 37.0
0.10053940194693017, 8.0, 0.001, 0.001, 15.0, 1.0, 3.0, 5.0, 0.0, 2.0, 0.0, 3.0, 38.0
0.10053940194693017, 8.0, 0.001, 0.001, 15.0, 1.0, 3.0, 5.0, 0.0, 2.0, 0.0, 4.0, 39.0
0.8179499475211671, 8.0, 0.001, 0.001, 15.0, 12.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 40.0
0.8179499475211671, 8.0, 0.001, 0.001, 15.0, 12.0, 3.0, 5.0, 0.0, 2.0, 0.0, 1.0, 41.0
0.8179499475211671, 8.0, 0.001, 0.001, 15.0, 12.0, 3.0, 5.0, 0.0, 2.0, 0.0, 2.0, 42.0
0.8179499475211671, 8.0, 0.001, 0.001, 15.0, 12.0, 3.0, 5.0, 0.0, 2.0, 0.0, 3.0, 43.0
0.8179499475211671, 8.0, 0.001, 0.001, 15.0, 12.0, 3.0, 5.0, 0.0, 2.0, 0.0, 4.0, 44.0
0.11727009450102244, 8.0, 0.001, 0.001, 15.0, 10.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0, 45.0
